Source;Target;Value;GEO;Year;Tag
Residential;NGL;0;Yukon;1998;Super-Sankey
Residential;NGL;0;Yukon;1997;Super-Sankey
Residential;NGL;0;Yukon;1996;Super-Sankey
Residential;NGL;0;Yukon;1995;Super-Sankey
Residential;NGL;0;Yukon;2014;Super-Sankey
Residential;NGL;0;Newfoundland and Labrador;2016;Super-Sankey
Residential;NGL;0;Newfoundland and Labrador;2015;Super-Sankey
Residential;NGL;0;Newfoundland and Labrador;2014;Super-Sankey
Residential;NGL;0;Newfoundland and Labrador;2013;Super-Sankey
Residential;NGL;0;Newfoundland and Labrador;2009;Super-Sankey
Residential;NGL;0;Newfoundland and Labrador;2005;Super-Sankey
Residential;NGL;0;Newfoundland and Labrador;2004;Super-Sankey
Residential;NGL;0;Newfoundland and Labrador;2003;Super-Sankey
Residential;NGL;0;Newfoundland and Labrador;2002;Super-Sankey
Residential;NGL;0;Newfoundland and Labrador;2001;Super-Sankey
Residential;NGL;0;Newfoundland and Labrador;2000;Super-Sankey
Residential;NGL;0;Newfoundland and Labrador;1999;Super-Sankey
Residential;NGL;0;Newfoundland and Labrador;1998;Super-Sankey
Residential;NGL;0;Newfoundland and Labrador;1997;Super-Sankey
Residential;NGL;0;Newfoundland and Labrador;1996;Super-Sankey
Residential;NGL;0;Newfoundland and Labrador;1995;Super-Sankey
Residential;NGL;0;Newfoundland and Labrador;2006;Super-Sankey
Residential;NGL;0;Newfoundland and Labrador;2007;Super-Sankey
Residential;NGL;0;Newfoundland and Labrador;2008;Super-Sankey
Residential;NGL;0;Newfoundland and Labrador;2010;Super-Sankey
Residential;NGL;0;Newfoundland and Labrador;2012;Super-Sankey
Residential;NGL;0;Newfoundland and Labrador;2011;Super-Sankey
Residential;NGL;1;Nova Scotia;2001;Super-Sankey
Residential;NGL;1;Nova Scotia;2000;Super-Sankey
Residential;NGL;0;Nova Scotia;1999;Super-Sankey
Residential;NGL;1;Nova Scotia;1997;Super-Sankey
Residential;NGL;0;Nova Scotia;1996;Super-Sankey
Residential;NGL;0;Nova Scotia;1995;Super-Sankey
Residential;NGL;1;Nova Scotia;1998;Super-Sankey
Residential;NGL;1;Nova Scotia;2016;Super-Sankey
Residential;NGL;1;Nova Scotia;2015;Super-Sankey
Residential;NGL;0;Nova Scotia;2014;Super-Sankey
Residential;NGL;1;Nova Scotia;2013;Super-Sankey
Residential;NGL;1;Nova Scotia;2012;Super-Sankey
Residential;NGL;1;Nova Scotia;2011;Super-Sankey
Residential;NGL;1;Nova Scotia;2010;Super-Sankey
Residential;NGL;1;Nova Scotia;2009;Super-Sankey
Residential;NGL;1;Nova Scotia;2008;Super-Sankey
Residential;NGL;1;Nova Scotia;2007;Super-Sankey
Residential;NGL;1;Nova Scotia;2006;Super-Sankey
Residential;NGL;1;Nova Scotia;2005;Super-Sankey
Residential;NGL;1;Nova Scotia;2004;Super-Sankey
Residential;NGL;1;Nova Scotia;2003;Super-Sankey
Residential;NGL;1;Nova Scotia;2002;Super-Sankey
Residential;NGL;0;Prince Edward Island;2016;Super-Sankey
Residential;NGL;0;Prince Edward Island;2015;Super-Sankey
Residential;NGL;0;Prince Edward Island;2014;Super-Sankey
Residential;NGL;0;Prince Edward Island;2013;Super-Sankey
Residential;NGL;0;Prince Edward Island;2012;Super-Sankey
Residential;NGL;0;Prince Edward Island;2011;Super-Sankey
Residential;NGL;0;Prince Edward Island;2010;Super-Sankey
Residential;NGL;0;Prince Edward Island;2009;Super-Sankey
Residential;NGL;0;Prince Edward Island;2008;Super-Sankey
Residential;NGL;0;Prince Edward Island;2007;Super-Sankey
Residential;NGL;0;Prince Edward Island;2006;Super-Sankey
Residential;NGL;0;Prince Edward Island;2005;Super-Sankey
Residential;NGL;0;Prince Edward Island;2004;Super-Sankey
Residential;NGL;0;Prince Edward Island;2003;Super-Sankey
Residential;NGL;0;Prince Edward Island;2002;Super-Sankey
Residential;NGL;0;Prince Edward Island;2001;Super-Sankey
Residential;NGL;0;Prince Edward Island;2000;Super-Sankey
Residential;NGL;0;Prince Edward Island;1999;Super-Sankey
Residential;NGL;0;Prince Edward Island;1998;Super-Sankey
Residential;NGL;0;Prince Edward Island;1997;Super-Sankey
Residential;NGL;0;Prince Edward Island;1996;Super-Sankey
Residential;NGL;0;Prince Edward Island;1995;Super-Sankey
Residential;NGL;11;Canada;2003;Super-Sankey
Residential;NGL;15;Canada;2007;Super-Sankey
Residential;NGL;18;Canada;2011;Super-Sankey
Residential;NGL;17;Canada;2016;Super-Sankey
Residential;NGL;14;Canada;2015;Super-Sankey
Residential;NGL;14;Canada;2014;Super-Sankey
Residential;NGL;16;Canada;2013;Super-Sankey
Residential;NGL;20;Canada;2012;Super-Sankey
Residential;NGL;16;Canada;2010;Super-Sankey
Residential;NGL;15;Canada;2009;Super-Sankey
Residential;NGL;17;Canada;2008;Super-Sankey
Residential;NGL;14;Canada;2006;Super-Sankey
Residential;NGL;13;Canada;2005;Super-Sankey
Residential;NGL;11;Canada;2004;Super-Sankey
Residential;NGL;11;Canada;2002;Super-Sankey
Residential;NGL;12;Canada;2001;Super-Sankey
Residential;NGL;11;Canada;2000;Super-Sankey
Residential;NGL;11;Canada;1999;Super-Sankey
Residential;NGL;12;Canada;1998;Super-Sankey
Residential;NGL;14;Canada;1997;Super-Sankey
Residential;NGL;14;Canada;1996;Super-Sankey
Residential;NGL;14;Canada;1995;Super-Sankey
Residential;NGL;1;Atlantic provinces;2016;Super-Sankey
Residential;NGL;1;Atlantic provinces;2015;Super-Sankey
Residential;NGL;1;Atlantic provinces;2014;Super-Sankey
Residential;NGL;1;Atlantic provinces;2013;Super-Sankey
Residential;NGL;1;Atlantic provinces;2012;Super-Sankey
Residential;NGL;2;Atlantic provinces;2011;Super-Sankey
Residential;NGL;2;Atlantic provinces;2010;Super-Sankey
Residential;NGL;2;Atlantic provinces;2009;Super-Sankey
Residential;NGL;2;Atlantic provinces;2008;Super-Sankey
Residential;NGL;2;Atlantic provinces;2007;Super-Sankey
Residential;NGL;2;Atlantic provinces;2006;Super-Sankey
Residential;NGL;2;Atlantic provinces;2005;Super-Sankey
Residential;NGL;1;Atlantic provinces;2004;Super-Sankey
Residential;NGL;2;Atlantic provinces;2003;Super-Sankey
Residential;NGL;2;Atlantic provinces;2002;Super-Sankey
Residential;NGL;2;Atlantic provinces;2001;Super-Sankey
Residential;NGL;2;Atlantic provinces;2000;Super-Sankey
Residential;NGL;1;Atlantic provinces;1999;Super-Sankey
Residential;NGL;1;Atlantic provinces;1998;Super-Sankey
Residential;NGL;2;Atlantic provinces;1997;Super-Sankey
Residential;NGL;1;Atlantic provinces;1996;Super-Sankey
Residential;NGL;1;Atlantic provinces;1995;Super-Sankey
Residential;Natural Gas;322;Ontario;2016;Super-Sankey
Residential;Natural Gas;373;Ontario;2015;Super-Sankey
Residential;Natural Gas;352;Ontario;2013;Super-Sankey
Residential;Natural Gas;309;Ontario;2012;Super-Sankey
Residential;Natural Gas;350;Ontario;2011;Super-Sankey
Residential;Natural Gas;329;Ontario;2009;Super-Sankey
Residential;Natural Gas;359;Ontario;2008;Super-Sankey
Residential;Natural Gas;353;Ontario;2007;Super-Sankey
Residential;Natural Gas;343;Ontario;2005;Super-Sankey
Residential;Natural Gas;336;Ontario;2004;Super-Sankey
Residential;Natural Gas;349;Ontario;2003;Super-Sankey
Residential;Natural Gas;317;Ontario;2002;Super-Sankey
Residential;Natural Gas;302;Ontario;2001;Super-Sankey
Residential;Natural Gas;316;Ontario;2000;Super-Sankey
Residential;Natural Gas;296;Ontario;1999;Super-Sankey
Residential;Natural Gas;271;Ontario;1998;Super-Sankey
Residential;Natural Gas;329;Ontario;1997;Super-Sankey
Residential;Natural Gas;331;Ontario;1996;Super-Sankey
Residential;Natural Gas;318;Ontario;1995;Super-Sankey
Residential;Natural Gas;315;Ontario;2006;Super-Sankey
Residential;Natural Gas;313;Ontario;2010;Super-Sankey
Residential;Natural Gas;391;Ontario;2014;Super-Sankey
Residential;Natural Gas;26;Quebec;2016;Super-Sankey
Residential;Natural Gas;26;Quebec;2015;Super-Sankey
Residential;Natural Gas;26;Quebec;2014;Super-Sankey
Residential;Natural Gas;25;Quebec;2013;Super-Sankey
Residential;Natural Gas;23;Quebec;2012;Super-Sankey
Residential;Natural Gas;23;Quebec;2011;Super-Sankey
Residential;Natural Gas;20;Quebec;2010;Super-Sankey
Residential;Natural Gas;27;Quebec;2009;Super-Sankey
Residential;Natural Gas;25;Quebec;2008;Super-Sankey
Residential;Natural Gas;25;Quebec;2007;Super-Sankey
Residential;Natural Gas;24;Quebec;2006;Super-Sankey
Residential;Natural Gas;26;Quebec;2002;Super-Sankey
Residential;Natural Gas;28;Quebec;2000;Super-Sankey
Residential;Natural Gas;26;Quebec;1999;Super-Sankey
Residential;Natural Gas;24;Quebec;1998;Super-Sankey
Residential;Natural Gas;28;Quebec;1997;Super-Sankey
Residential;Natural Gas;27;Quebec;1996;Super-Sankey
Residential;Natural Gas;26;Quebec;1995;Super-Sankey
Residential;Natural Gas;24;Quebec;2001;Super-Sankey
Residential;Natural Gas;28;Quebec;2003;Super-Sankey
Residential;Natural Gas;28;Quebec;2004;Super-Sankey
Residential;Natural Gas;27;Quebec;2005;Super-Sankey
Residential;Natural Gas;1;New Brunswick;2014;Super-Sankey
Residential;Natural Gas;1;New Brunswick;2013;Super-Sankey
Residential;Natural Gas;1;New Brunswick;2012;Super-Sankey
Residential;Natural Gas;1;New Brunswick;2011;Super-Sankey
Residential;Natural Gas;1;New Brunswick;2010;Super-Sankey
Residential;Natural Gas;1;New Brunswick;2009;Super-Sankey
Residential;Natural Gas;1;New Brunswick;2008;Super-Sankey
Residential;Natural Gas;1;New Brunswick;2007;Super-Sankey
Residential;Natural Gas;1;New Brunswick;2006;Super-Sankey
Residential;Natural Gas;1;New Brunswick;2005;Super-Sankey
Residential;Natural Gas;1;New Brunswick;2003;Super-Sankey
Residential;Natural Gas;0;New Brunswick;2002;Super-Sankey
Residential;Natural Gas;0;New Brunswick;2001;Super-Sankey
Residential;Natural Gas;0;New Brunswick;2000;Super-Sankey
Residential;Natural Gas;0;New Brunswick;1999;Super-Sankey
Residential;Natural Gas;0;New Brunswick;1998;Super-Sankey
Residential;Natural Gas;0;New Brunswick;1997;Super-Sankey
Residential;Natural Gas;1;New Brunswick;2004;Super-Sankey
Residential;Natural Gas;0;New Brunswick;1996;Super-Sankey
Residential;Natural Gas;0;New Brunswick;1995;Super-Sankey
Residential;Natural Gas;1;New Brunswick;2016;Super-Sankey
Residential;Natural Gas;1;New Brunswick;2015;Super-Sankey
Residential;Natural Gas;36;Saskatchewan;1999;Super-Sankey
Residential;Natural Gas;35;Saskatchewan;1998;Super-Sankey
Residential;Natural Gas;38;Saskatchewan;1997;Super-Sankey
Residential;Natural Gas;44;Saskatchewan;1996;Super-Sankey
Residential;Natural Gas;39;Saskatchewan;1995;Super-Sankey
Residential;Natural Gas;34;Saskatchewan;2016;Super-Sankey
Residential;Natural Gas;34;Saskatchewan;2015;Super-Sankey
Residential;Natural Gas;37;Saskatchewan;2014;Super-Sankey
Residential;Natural Gas;37;Saskatchewan;2013;Super-Sankey
Residential;Natural Gas;33;Saskatchewan;2012;Super-Sankey
Residential;Natural Gas;35;Saskatchewan;2011;Super-Sankey
Residential;Natural Gas;36;Saskatchewan;2010;Super-Sankey
Residential;Natural Gas;33;Saskatchewan;2009;Super-Sankey
Residential;Natural Gas;32;Saskatchewan;2008;Super-Sankey
Residential;Natural Gas;30;Saskatchewan;2007;Super-Sankey
Residential;Natural Gas;31;Saskatchewan;2006;Super-Sankey
Residential;Natural Gas;29;Saskatchewan;2005;Super-Sankey
Residential;Natural Gas;31;Saskatchewan;2004;Super-Sankey
Residential;Natural Gas;33;Saskatchewan;2003;Super-Sankey
Residential;Natural Gas;37;Saskatchewan;2002;Super-Sankey
Residential;Natural Gas;36;Saskatchewan;2001;Super-Sankey
Residential;Natural Gas;37;Saskatchewan;2000;Super-Sankey
Residential;Natural Gas;139;Alberta;2016;Super-Sankey
Residential;Natural Gas;170;Alberta;2013;Super-Sankey
Residential;Natural Gas;168;Alberta;2012;Super-Sankey
Residential;Natural Gas;170;Alberta;2011;Super-Sankey
Residential;Natural Gas;160;Alberta;2010;Super-Sankey
Residential;Natural Gas;169;Alberta;2009;Super-Sankey
Residential;Natural Gas;172;Alberta;2008;Super-Sankey
Residential;Natural Gas;176;Alberta;2007;Super-Sankey
Residential;Natural Gas;148;Alberta;2006;Super-Sankey
Residential;Natural Gas;147;Alberta;2005;Super-Sankey
Residential;Natural Gas;160;Alberta;2004;Super-Sankey
Residential;Natural Gas;161;Alberta;2003;Super-Sankey
Residential;Natural Gas;157;Alberta;2002;Super-Sankey
Residential;Natural Gas;140;Alberta;2001;Super-Sankey
Residential;Natural Gas;161;Alberta;2000;Super-Sankey
Residential;Natural Gas;144;Alberta;1999;Super-Sankey
Residential;Natural Gas;147;Alberta;1998;Super-Sankey
Residential;Natural Gas;148;Alberta;1997;Super-Sankey
Residential;Natural Gas;162;Alberta;1996;Super-Sankey
Residential;Natural Gas;144;Alberta;1995;Super-Sankey
Residential;Natural Gas;162;Alberta;2015;Super-Sankey
Residential;Natural Gas;178;Alberta;2014;Super-Sankey
Residential;Natural Gas;20;Manitoba;2011;Super-Sankey
Residential;Natural Gas;20;Manitoba;2016;Super-Sankey
Residential;Natural Gas;24;Manitoba;2014;Super-Sankey
Residential;Natural Gas;23;Manitoba;2013;Super-Sankey
Residential;Natural Gas;20;Manitoba;2012;Super-Sankey
Residential;Natural Gas;19;Manitoba;2010;Super-Sankey
Residential;Natural Gas;20;Manitoba;2009;Super-Sankey
Residential;Natural Gas;21;Manitoba;2008;Super-Sankey
Residential;Natural Gas;20;Manitoba;2007;Super-Sankey
Residential;Natural Gas;18;Manitoba;2006;Super-Sankey
Residential;Natural Gas;21;Manitoba;2005;Super-Sankey
Residential;Natural Gas;23;Manitoba;2004;Super-Sankey
Residential;Natural Gas;24;Manitoba;2002;Super-Sankey
Residential;Natural Gas;23;Manitoba;2001;Super-Sankey
Residential;Natural Gas;26;Manitoba;2000;Super-Sankey
Residential;Natural Gas;24;Manitoba;1999;Super-Sankey
Residential;Natural Gas;23;Manitoba;1998;Super-Sankey
Residential;Natural Gas;27;Manitoba;1997;Super-Sankey
Residential;Natural Gas;29;Manitoba;1996;Super-Sankey
Residential;Natural Gas;27;Manitoba;1995;Super-Sankey
Residential;Natural Gas;23;Manitoba;2003;Super-Sankey
Residential;Natural Gas;20;Manitoba;2015;Super-Sankey
Residential;Natural Gas;0;Yukon, Northwest Territories and Nunavut;2008;Super-Sankey
Residential;Natural Gas;0;Yukon, Northwest Territories and Nunavut;2007;Super-Sankey
Residential;Natural Gas;0;Yukon, Northwest Territories and Nunavut;2006;Super-Sankey
Residential;Natural Gas;0;Yukon, Northwest Territories and Nunavut;2005;Super-Sankey
Residential;Natural Gas;0;Yukon, Northwest Territories and Nunavut;2004;Super-Sankey
Residential;Natural Gas;0;Yukon, Northwest Territories and Nunavut;2003;Super-Sankey
Residential;Natural Gas;0;Yukon, Northwest Territories and Nunavut;2002;Super-Sankey
Residential;Natural Gas;0;Yukon, Northwest Territories and Nunavut;2000;Super-Sankey
Residential;Natural Gas;0;Yukon, Northwest Territories and Nunavut;1999;Super-Sankey
Residential;Natural Gas;0;Yukon, Northwest Territories and Nunavut;1998;Super-Sankey
Residential;Natural Gas;1;Yukon, Northwest Territories and Nunavut;1997;Super-Sankey
Residential;Natural Gas;0;Yukon, Northwest Territories and Nunavut;2016;Super-Sankey
Residential;Natural Gas;1;Yukon, Northwest Territories and Nunavut;1996;Super-Sankey
Residential;Natural Gas;0;Yukon, Northwest Territories and Nunavut;2001;Super-Sankey
Residential;Natural Gas;1;Yukon, Northwest Territories and Nunavut;2015;Super-Sankey
Residential;Natural Gas;1;Yukon, Northwest Territories and Nunavut;1995;Super-Sankey
Residential;Natural Gas;0;Yukon, Northwest Territories and Nunavut;2014;Super-Sankey
Residential;Natural Gas;0;Yukon, Northwest Territories and Nunavut;2013;Super-Sankey
Residential;Natural Gas;0;Yukon, Northwest Territories and Nunavut;2012;Super-Sankey
Residential;Natural Gas;0;Yukon, Northwest Territories and Nunavut;2011;Super-Sankey
Residential;Natural Gas;0;Yukon, Northwest Territories and Nunavut;2010;Super-Sankey
Residential;Natural Gas;0;Yukon, Northwest Territories and Nunavut;2009;Super-Sankey
Residential;Natural Gas;0;Northwest Territories;2009;Super-Sankey
Residential;Natural Gas;0;Northwest Territories;2016;Super-Sankey
Residential;Natural Gas;0;Northwest Territories;2015;Super-Sankey
Residential;Natural Gas;0;Northwest Territories;2014;Super-Sankey
Residential;Natural Gas;0;Northwest Territories;2013;Super-Sankey
Residential;Natural Gas;0;Northwest Territories;2012;Super-Sankey
Residential;Natural Gas;0;Northwest Territories;2011;Super-Sankey
Residential;Natural Gas;0;Northwest Territories;2010;Super-Sankey
Residential;Natural Gas;0;Northwest Territories;2008;Super-Sankey
Residential;Natural Gas;0;Northwest Territories;2007;Super-Sankey
Residential;Natural Gas;0;Northwest Territories;2006;Super-Sankey
Residential;Natural Gas;0;Northwest Territories;2005;Super-Sankey
Residential;Natural Gas;0;Northwest Territories;2004;Super-Sankey
Residential;Natural Gas;0;Northwest Territories;2003;Super-Sankey
Residential;Natural Gas;0;Northwest Territories;2002;Super-Sankey
Residential;Natural Gas;0;Northwest Territories;2001;Super-Sankey
Residential;Natural Gas;0;Northwest Territories;2000;Super-Sankey
Residential;Natural Gas;0;Northwest Territories;1999;Super-Sankey
Residential;Natural Gas;0;Northwest Territories;1998;Super-Sankey
Residential;Natural Gas;0;Northwest Territories;1997;Super-Sankey
Residential;Natural Gas;0;Northwest Territories;1996;Super-Sankey
Residential;Natural Gas;0;Northwest Territories;1995;Super-Sankey
Residential;Natural Gas;73;British Columbia;2016;Super-Sankey
Residential;Natural Gas;73;British Columbia;2015;Super-Sankey
Residential;Natural Gas;75;British Columbia;2014;Super-Sankey
Residential;Natural Gas;78;British Columbia;2013;Super-Sankey
Residential;Natural Gas;78;British Columbia;2012;Super-Sankey
Residential;Natural Gas;84;British Columbia;2011;Super-Sankey
Residential;Natural Gas;67;British Columbia;2010;Super-Sankey
Residential;Natural Gas;81;British Columbia;2009;Super-Sankey
Residential;Natural Gas;81;British Columbia;2008;Super-Sankey
Residential;Natural Gas;81;British Columbia;2007;Super-Sankey
Residential;Natural Gas;82;British Columbia;2006;Super-Sankey
Residential;Natural Gas;79;British Columbia;2005;Super-Sankey
Residential;Natural Gas;73;British Columbia;2004;Super-Sankey
Residential;Natural Gas;75;British Columbia;2003;Super-Sankey
Residential;Natural Gas;79;British Columbia;2002;Super-Sankey
Residential;Natural Gas;76;British Columbia;2001;Super-Sankey
Residential;Natural Gas;79;British Columbia;2000;Super-Sankey
Residential;Natural Gas;82;British Columbia;1999;Super-Sankey
Residential;Natural Gas;77;British Columbia;1998;Super-Sankey
